Gene	p value	Name
CLECL1	>0.1	C-type lectin like 1
EMR4P	>0.1	adhesion G protein-coupled receptor E4, pseudogene
HRASLS	>0.1	phospholipase A and acyltransferase 1
NKG7	>0.1	natural killer cell granule protein 7
KCNE3	>0.1	potassium voltage-gated channel subfamily E regulatory subunit 3
LY96	>0.1	lymphocyte antigen 96
TREX1	>0.1	three prime repair exonuclease 1
MEX3B	>0.1	mex-3 RNA binding family member B
KIAA1045	>0.1	PHD finger protein 24
FARP1	>0.1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
FXYD2	>0.1	FXYD domain containing ion transport regulator 2
DGKQ	>0.1	diacylglycerol kinase theta
GPRIN1	>0.1	G protein regulated inducer of neurite outgrowth 1
FTSJ1	>0.1	FtsJ RNA 2'-O-methyltransferase 1
CCDC101	>0.1	SAGA complex associated factor 29
SPANXC	>0.1	SPANX family member C
RAD51B	>0.1	RAD51 paralog B
AQP1	>0.1	aquaporin 1 (Colton blood group)
RGL2	>0.1	ral guanine nucleotide dissociation stimulator like 2
CPSF2	>0.1	cleavage and polyadenylation specific factor 2
CFP	>0.1	complement factor properdin
FAM9A	>0.1	family with sequence similarity 9 member A
LINC00113	>0.1	long intergenic non-protein coding RNA 113
PCID2	>0.1	PCI domain containing 2
PALM2	>0.1	paralemmin 2
OR51I1	>0.1	olfactory receptor family 51 subfamily I member 1
SLCO1A2	>0.1	solute carrier organic anion transporter family member 1A2
NPSR1-AS1	>0.1	NPSR1 antisense RNA 1
DLGAP1-AS2	>0.1	DLGAP1 antisense RNA 2
FMR1	>0.1	fragile X messenger ribonucleoprotein 1
MRPL48	>0.1	mitochondrial ribosomal protein L48
TRIM43	>0.1	tripartite motif containing 43
JMJD7-PLA2G4B	>0.1	JMJD7-PLA2G4B readthrough
SCARNA1	>0.1	small Cajal body-specific RNA 1
GPR55	>0.1	G protein-coupled receptor 55
GINS3	>0.1	GINS complex subunit 3
RFPL4AL1	>0.1	ret finger protein like 4A like 1
C2orf42	>0.1	chromosome 2 open reading frame 42
TRAFD1	>0.1	TRAF-type zinc finger domain containing 1
ACAD11	>0.1	acyl-CoA dehydrogenase family member 11
S100A13	>0.1	S100 calcium binding protein A13
MCM3AP	>0.1	minichromosome maintenance complex component 3 associated protein
PSAPL1	>0.1	prosaposin like 1
AGR3	>0.1	anterior gradient 3, protein disulphide isomerase family member
PPP1R2P3	>0.1	PPP1R2 family member B
SPATA21	>0.1	spermatogenesis associated 21
TSPEAR	>0.1	thrombospondin type laminin G domain and EAR repeats
LTBP2	>0.1	latent transforming growth factor beta binding protein 2
H1F0	>0.1	H1.0 linker histone
ZNF750	>0.1	zinc finger protein 750
ADAMTS15	>0.1	ADAM metallopeptidase with thrombospondin type 1 motif 15
COMMD10	>0.1	COMM domain containing 10
SOWAHA	>0.1	sosondowah ankyrin repeat domain family member A
FLJ42351	>0.1	
OR52H1	>0.1	olfactory receptor family 52 subfamily H member 1
FHIT	>0.1	fragile histidine triad diadenosine triphosphatase
BTN2A2	>0.1	butyrophilin subfamily 2 member A2
C7orf34	>0.1	LLLL and CFNLAS motif containing 1
IL36G	>0.1	interleukin 36 gamma
LOC388242	>0.1	SAGA complex associated factor 29 pseudogene(LOC388242)
PCYT2	>0.1	phosphate cytidylyltransferase 2, ethanolamine
LINC00284	>0.1	non-coding RNA in the aldehyde dehydrogenase 1A pathway
OR51T1	>0.1	olfactory receptor family 51 subfamily T member 1
DUSP14	>0.1	dual specificity phosphatase 14
NOL4	>0.1	nucleolar protein 4
RTKN	>0.1	rhotekin
AMY1C	>0.1	amylase alpha 1C
SURF4	>0.1	surfeit 4
SLC22A3	>0.1	solute carrier family 22 member 3
ADAMTSL1	>0.1	ADAMTS like 1
NCSTN	>0.1	nicastrin
NOTCH2NL	>0.1	notch 2 N-terminal like A
CNTN5	>0.1	contactin 5
LPHN1	>0.1	adhesion G protein-coupled receptor L1
POMT2	>0.1	protein O-mannosyltransferase 2
PLB1	>0.1	phospholipase B1
UTP23	>0.1	UTP23 small subunit processome component
CCDC80	>0.1	coiled-coil domain containing 80
CADM3-AS1	>0.1	CADM3 antisense RNA 1
ZNRF2	>0.1	zinc and ring finger 2
FRRS1L	>0.1	ferric chelate reductase 1 like
DSCR10	>0.1	Down syndrome critical region 10
OCA2	>0.1	OCA2 melanosomal transmembrane protein
PRSS55	>0.1	serine protease 55
FLJ45513	>0.1	uncharacterized LOC729220(FLJ45513)
NFAM1	>0.1	NFAT activating protein with ITAM motif 1
CTB-174D11.1	>0.1	
CCM2L	>0.1	CCM2 like scaffold protein
LMO4	>0.1	LIM domain only 4
LOC100506700	>0.1	
BTG3	>0.1	BTG anti-proliferation factor 3
TRIML1	>0.1	tripartite motif family like 1
COL6A4P2	>0.1	collagen type VI alpha 4 pseudogene 2
AKR1B15	>0.1	aldo-keto reductase family 1 member B15
SLC45A4	>0.1	solute carrier family 45 member 4
LOC389247	>0.1	
ORM2	>0.1	orosomucoid 2
MYBBP1A	>0.1	MYB binding protein 1a
TTC16	>0.1	tetratricopeptide repeat domain 16
KCNG4	>0.1	potassium voltage-gated channel modifier subfamily G member 4
LINC00460	>0.1	long intergenic non-protein coding RNA 460
MYO5C	>0.1	myosin VC
LEKR1	>0.1	leucine, glutamate and lysine rich 1
C7orf26	>0.1	integrator complex subunit 15
FAM213A	>0.1	peroxiredoxin like 2A
CERS1	>0.1	ceramide synthase 1
ZZEF1	>0.1	zinc finger ZZ-type and EF-hand domain containing 1
MARCKSL1	>0.1	MARCKS like 1
KIFC2	>0.1	kinesin family member C2
ATP5C1	>0.1	ATP synthase F1 subunit gamma
SH3RF3	>0.1	SH3 domain containing ring finger 3
SETD3	>0.1	SET domain containing 3, actin histidine methyltransferase
HIST1H2AB	>0.1	H2A clustered histone 4
GLYAT	>0.1	glycine-N-acyltransferase
TMEM121	>0.1	transmembrane protein 121
NGFR	>0.1	nerve growth factor receptor
ATP2B1	>0.1	ATPase plasma membrane Ca2+ transporting 1
TRAP1	>0.1	TNF receptor associated protein 1
WHAMMP3	>0.1	WHAMM pseudogene 3
VTN	>0.1	vitronectin
CC2D1B	>0.1	coiled-coil and C2 domain containing 1B
ZNF433	>0.1	zinc finger protein 433
TUBB2A	>0.1	tubulin beta 2A class IIa
GAREML	>0.1	GRB2 associated regulator of MAPK1 subtype 2
PLEKHG6	>0.1	pleckstrin homology and RhoGEF domain containing G6
KLHL25	>0.1	kelch like family member 25
FECH	>0.1	ferrochelatase
APPBP2	>0.1	amyloid beta precursor protein binding protein 2
ZNF37A	>0.1	zinc finger protein 37A
IVD	>0.1	isovaleryl-CoA dehydrogenase
SH2D4B	>0.1	SH2 domain containing 4B
CRISP2	>0.1	cysteine rich secretory protein 2
ANKRD42	>0.1	ankyrin repeat domain 42
FPR1	>0.1	formyl peptide receptor 1
SLC5A4	>0.1	solute carrier family 5 member 4
SGCZ	>0.1	sarcoglycan zeta
NAA16	>0.1	N-alpha-acetyltransferase 16, NatA auxiliary subunit
DAPL1	>0.1	death associated protein like 1
ZDHHC4	>0.1	zinc finger DHHC-type palmitoyltransferase 4
GPR139	>0.1	G protein-coupled receptor 139
OR2W1	>0.1	olfactory receptor family 2 subfamily W member 1
NRAS	>0.1	NRAS proto-oncogene, GTPase
UPF3A	>0.1	UPF3A regulator of nonsense mediated mRNA decay
LOC101928370	>0.1	
NAMPT	>0.1	nicotinamide phosphoribosyltransferase
LOC728040	>0.1	
VN1R1	>0.1	vomeronasal 1 receptor 1
GSG1	>0.1	germ cell associated 1
ATOX1	>0.1	antioxidant 1 copper chaperone
MX1	>0.1	MX dynamin like GTPase 1
JAG2	>0.1	jagged canonical Notch ligand 2
RPL7	>0.1	ribosomal protein L7
SPRR1B	>0.1	small proline rich protein 1B
PHF1	>0.1	PHD finger protein 1
OR8D4	>0.1	olfactory receptor family 8 subfamily D member 4
MVP	>0.1	major vault protein
TMEM182	>0.1	transmembrane protein 182
LGR5	>0.1	leucine rich repeat containing G protein-coupled receptor 5
LOC285740	>0.1	
SUCLG2	>0.1	succinate-CoA ligase GDP-forming subunit beta
OR1L8	>0.1	olfactory receptor family 1 subfamily L member 8
SPRR2E	>0.1	small proline rich protein 2E
CALR	>0.1	calreticulin
ZSWIM1	>0.1	zinc finger SWIM-type containing 1
GUCA1A	>0.1	guanylate cyclase activator 1A
C7orf55	>0.1	formation of mitochondrial complex V assembly factor 1 homolog
APPL2	>0.1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2
PARD3	>0.1	par-3 family cell polarity regulator
DHX58	>0.1	DExH-box helicase 58
LACC1	>0.1	laccase domain containing 1
TYRP1	>0.1	tyrosinase related protein 1
ENKUR	>0.1	enkurin, TRPC channel interacting protein
MAP3K8	>0.1	mitogen-activated protein kinase kinase kinase 8
ZNF773	>0.1	zinc finger protein 773
NPFFR1	>0.1	neuropeptide FF receptor 1
RAB9B	>0.1	RAB9B, member RAS oncogene family
RPRD1B	>0.1	regulation of nuclear pre-mRNA domain containing 1B
LINC00659	>0.1	long intergenic non-protein coding RNA 659
CCDC129	>0.1	ITPR interacting domain containing 1
MPP5	>0.1	protein associated with LIN7 1, MAGUK p55 family member
LOC101927668	>0.1	uncharacterized LOC101927668(LOC101927668)
MZB1	>0.1	marginal zone B and B1 cell specific protein
RPS6KA3	>0.1	ribosomal protein S6 kinase A3
CLDND2	>0.1	claudin domain containing 2
USP49	>0.1	ubiquitin specific peptidase 49
GJD4	>0.1	gap junction protein delta 4
MEST	>0.1	mesoderm specific transcript
LKAAEAR1	>0.1	LKAAEAR motif containing 1
DPM2	>0.1	dolichyl-phosphate mannosyltransferase subunit 2, regulatory
SPTSSB	>0.1	serine palmitoyltransferase small subunit B
PRKAB2	>0.1	protein kinase AMP-activated non-catalytic subunit beta 2
LIX1	>0.1	limb and CNS expressed 1
TSSK4	>0.1	testis specific serine kinase 4
LMAN1	>0.1	lectin, mannose binding 1
WWTR1-AS1	>0.1	WWTR1 antisense RNA 1
FAAH2	>0.1	fatty acid amide hydrolase 2
RBM14-RBM4	>0.1	RBM14-RBM4 readthrough
BPIFB6	>0.1	BPI fold containing family B member 6
C2orf74	>0.1	chromosome 2 open reading frame 74
LEAP2	>0.1	liver enriched antimicrobial peptide 2
IFNGR1	>0.1	interferon gamma receptor 1
TBC1D22A	>0.1	TBC1 domain family member 22A
ADAMTS9	>0.1	ADAM metallopeptidase with thrombospondin type 1 motif 9
RPL39	>0.1	ribosomal protein L39
DMKN	>0.1	dermokine
MPZL1	>0.1	myelin protein zero like 1
PSG5	>0.1	pregnancy specific beta-1-glycoprotein 5
CHRM1	>0.1	cholinergic receptor muscarinic 1
PRR18	>0.1	proline rich 18
LRRC52	>0.1	leucine rich repeat containing 52
NTRK2	>0.1	neurotrophic receptor tyrosine kinase 2
RNF141	>0.1	ring finger protein 141
MAP3K12	>0.1	mitogen-activated protein kinase kinase kinase 12
MMRN1	>0.1	multimerin 1
OTOG	>0.1	otogelin
FAM83A-AS1	>0.1	FAM83A antisense RNA 1
TSHZ3	>0.1	teashirt zinc finger homeobox 3
FAM83A	>0.1	family with sequence similarity 83 member A
LAS1L	>0.1	LAS1 like ribosome biogenesis factor
C4orf17	>0.1	chromosome 4 open reading frame 17
RPGR	>0.1	retinitis pigmentosa GTPase regulator
LAMTOR4	>0.1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4
CACNG7	>0.1	calcium voltage-gated channel auxiliary subunit gamma 7
GPRASP2	>0.1	G protein-coupled receptor associated sorting protein 2
LCA5	>0.1	lebercilin LCA5
CLEC2B	>0.1	C-type lectin domain family 2 member B
REV3L	>0.1	REV3 like, DNA directed polymerase zeta catalytic subunit
CKS2	>0.1	CDC28 protein kinase regulatory subunit 2
GYS1	>0.1	glycogen synthase 1
WDR87	>0.1	WD repeat domain 87
EPYC	>0.1	epiphycan
GALC	>0.1	galactosylceramidase
ZNF350	>0.1	zinc finger protein 350
PRPS1L1	>0.1	phosphoribosyl pyrophosphate synthetase 1 like 1
TEDDM1	>0.1	transmembrane epididymal protein 1
PTDSS2	>0.1	phosphatidylserine synthase 2
KANSL1-AS1	>0.1	KANSL1 antisense RNA 1
SULT1C3	>0.1	sulfotransferase family 1C member 3
SLC18A3	>0.1	solute carrier family 18 member A3
ZNF326	>0.1	zinc finger protein 326
LY6G6E	>0.1	lymphocyte antigen 6 family member G6E
SKA2	>0.1	spindle and kinetochore associated complex subunit 2
CACNB2	>0.1	calcium voltage-gated channel auxiliary subunit beta 2
DEPDC1	>0.1	DEP domain containing 1
TPR	>0.1	translocated promoter region, nuclear basket protein
RGS7BP	>0.1	regulator of G protein signaling 7 binding protein
TRIM78P	>0.1	
PTPRC	>0.1	protein tyrosine phosphatase receptor type C
ZNF626	>0.1	zinc finger protein 626
GEM	>0.1	GTP binding protein overexpressed in skeletal muscle
HSDL2	>0.1	hydroxysteroid dehydrogenase like 2
DEFB119	>0.1	defensin beta 119
FAM171A2	>0.1	family with sequence similarity 171 member A2
PCK2	>0.1	phosphoenolpyruvate carboxykinase 2, mitochondrial
PNOC	>0.1	prepronociceptin
ZC3HAV1	>0.1	zinc finger CCCH-type containing, antiviral 1
APOBEC1	>0.1	apolipoprotein B mRNA editing enzyme catalytic subunit 1
OSR1	>0.1	odd-skipped related transcription factor 1
ACTL9	>0.1	actin like 9
GRIK4	>0.1	glutamate ionotropic receptor kainate type subunit 4
SUPT4H1	>0.1	SPT4 homolog, DSIF elongation factor subunit
FAM180B	>0.1	family with sequence similarity 180 member B
FUT11	>0.1	fucosyltransferase 11
UNC5A	>0.1	unc-5 netrin receptor A
LOC102800447	>0.1	
WT1	>0.1	WT1 transcription factor
ANKRD20A9P	>0.1	ankyrin repeat domain 20 family member A9, pseudogene
KRIT1	>0.1	KRIT1 ankyrin repeat containing
ATP11A	>0.1	ATPase phospholipid transporting 11A
RGP1	>0.1	RGP1 homolog, RAB6A GEF complex partner 1
C2	>0.1	complement C2
DOK5	>0.1	docking protein 5
ANO2	>0.1	anoctamin 2
PRKXP1	>0.1	PRKX pseudogene 1
TATDN3	>0.1	TatD DNase domain containing 3
CHIT1	>0.1	chitinase 1
MAPKBP1	>0.1	mitogen-activated protein kinase binding protein 1
FGD6	>0.1	FYVE, RhoGEF and PH domain containing 6
HP	>0.1	haptoglobin
TMEM185B	>0.1	transmembrane protein 185B
FFAR1	>0.1	free fatty acid receptor 1
NID2	>0.1	nidogen 2
PAX8-AS1	>0.1	PAX8 antisense RNA 1
F13A1	>0.1	coagulation factor XIII A chain
CCDC175	>0.1	coiled-coil domain containing 175
SMC2	>0.1	structural maintenance of chromosomes 2
ZDHHC22	>0.1	zinc finger DHHC-type palmitoyltransferase 22
INPP4A	>0.1	inositol polyphosphate-4-phosphatase type I A
ITGB1BP1	>0.1	integrin subunit beta 1 binding protein 1
ORC3	>0.1	origin recognition complex subunit 3
ZNF174	>0.1	zinc finger protein 174
MAP1S	>0.1	microtubule associated protein 1S
POLR2D	>0.1	RNA polymerase II subunit D
RARRES3	>0.1	phospholipase A and acyltransferase 4
VEGFB	>0.1	vascular endothelial growth factor B
PQLC2	>0.1	solute carrier family 66 member 1
MGP	>0.1	matrix Gla protein
RABAC1	>0.1	Rab acceptor 1
CTPS1	>0.1	CTP synthase 1
MS4A8	>0.1	membrane spanning 4-domains A8
GPR68	>0.1	G protein-coupled receptor 68
COIL	>0.1	coilin
GPR132	>0.1	G protein-coupled receptor 132
ARHGAP9	>0.1	Rho GTPase activating protein 9
BLOC1S4	>0.1	biogenesis of lysosomal organelles complex 1 subunit 4
OR5AU1	>0.1	olfactory receptor family 5 subfamily AU member 1
VENTX	>0.1	VENT homeobox
TMEM191A	>0.1	transmembrane protein 191A (pseudogene)
GLIPR1	>0.1	GLI pathogenesis related 1
CDKN2B	>0.1	cyclin dependent kinase inhibitor 2B
SWT1	>0.1	SWT1 RNA endoribonuclease homolog
C11orf16	>0.1	chromosome 11 open reading frame 16
BAG4	>0.1	BAG cochaperone 4
FLJ44313	>0.1	
BPTF	>0.1	bromodomain PHD finger transcription factor
DNAJC2	>0.1	DnaJ heat shock protein family (Hsp40) member C2
MIA	>0.1	MIA SH3 domain containing
MTMR2	>0.1	myotubularin related protein 2
RS1	>0.1	retinoschisin 1
TMEM38A	>0.1	transmembrane protein 38A
KCNQ3	>0.1	potassium voltage-gated channel subfamily Q member 3
PI3	>0.1	peptidase inhibitor 3
POTED	>0.1	POTE ankyrin domain family member D
GLYR1	>0.1	glyoxylate reductase 1 homolog
LPCAT3	>0.1	lysophosphatidylcholine acyltransferase 3
KRTAP4-8	>0.1	keratin associated protein 4-8
GALR1	>0.1	galanin receptor 1
ANAPC1P1	>0.1	ANAPC1 pseudogene 1
ZNF567	>0.1	zinc finger protein 567
C2orf27A	>0.1	chromosome 2 open reading frame 27A
SLC12A6	>0.1	solute carrier family 12 member 6
MAP3K1	>0.1	mitogen-activated protein kinase kinase kinase 1
SUDS3	>0.1	SDS3 homolog, SIN3A corepressor complex component
NECAB2	>0.1	N-terminal EF-hand calcium binding protein 2
SEC24B	>0.1	SEC24 homolog B, COPII coat complex component
LRRC19	>0.1	leucine rich repeat containing 19
PGM5-AS1	>0.1	PGM5 antisense RNA 1
MKS1	>0.1	MKS transition zone complex subunit 1
SLC7A7	>0.1	solute carrier family 7 member 7
JRKL	>0.1	JRK like
LINC00494	>0.1	long intergenic non-protein coding RNA 494
RCHY1	>0.1	ring finger and CHY zinc finger domain containing 1
ZMYND10	>0.1	zinc finger MYND-type containing 10
MEP1A	>0.1	meprin A subunit alpha
GCH1	>0.1	GTP cyclohydrolase 1
PSORS1C3	>0.1	psoriasis susceptibility 1 candidate 3
TPH1	>0.1	tryptophan hydroxylase 1
AKAP13	>0.1	A-kinase anchoring protein 13
ARPC4-TTLL3	>0.1	ARPC4-TTLL3 readthrough
LOC101928569	>0.1	
LOC401134	>0.1	
OPRD1	>0.1	opioid receptor delta 1
HOXC13	>0.1	homeobox C13
BDNF	>0.1	brain derived neurotrophic factor
PTPN9	>0.1	protein tyrosine phosphatase non-receptor type 9
MTNR1B	>0.1	melatonin receptor 1B
ICOSLG	>0.1	inducible T cell costimulator ligand
GYPB	>0.1	glycophorin B (MNS blood group)
COX5A	>0.1	cytochrome c oxidase subunit 5A
THBS4	>0.1	thrombospondin 4
LPIN2	>0.1	lipin 2
GHRLOS	>0.1	ghrelin opposite strand/antisense RNA
HIST1H2BI	>0.1	H2B clustered histone 10
TADA3	>0.1	transcriptional adaptor 3
ULK1	>0.1	unc-51 like autophagy activating kinase 1
GK5	>0.1	glycerol kinase 5
HPR	>0.1	haptoglobin-related protein
FAM212B	>0.1	inka box actin regulator 2
ATOH7	>0.1	atonal bHLH transcription factor 7
TSR2	>0.1	TSR2 ribosome maturation factor
SH3GLB2	>0.1	SH3 domain containing GRB2 like, endophilin B2
MCIDAS	>0.1	multiciliate differentiation and DNA synthesis associated cell cycle protein
ABHD4	>0.1	abhydrolase domain containing 4, N-acyl phospholipase B
NUTM2F	>0.1	NUT family member 2F
RGS10	>0.1	regulator of G protein signaling 10
GYG2	>0.1	glycogenin 2
SAC3D1	>0.1	SAC3 domain containing 1
IL17REL	>0.1	interleukin 17 receptor E like
PATE1	>0.1	prostate and testis expressed 1
LINC00925	>0.1	MIR9-3 host gene
VPS37B	>0.1	VPS37B subunit of ESCRT-I
PRPF40A	>0.1	pre-mRNA processing factor 40 homolog A
IL15RA	>0.1	interleukin 15 receptor subunit alpha
NOS3	>0.1	nitric oxide synthase 3
CD28	>0.1	CD28 molecule
CPAMD8	>0.1	C3 and PZP like alpha-2-macroglobulin domain containing 8
IDUA	>0.1	alpha-L-iduronidase
ZNF667-AS1	>0.1	ZNF667 antisense RNA 1 (head to head)
FOCAD	>0.1	focadhesin
AKAP7	>0.1	A-kinase anchoring protein 7
TCN1	>0.1	transcobalamin 1
TPT1-AS1	>0.1	TPT1 antisense RNA 1
RNF39	>0.1	ring finger protein 39
CNTRL	>0.1	centriolin
ZNF335	>0.1	zinc finger protein 335
XPO7	>0.1	exportin 7
SLC37A2	>0.1	solute carrier family 37 member 2
CERS6	>0.1	ceramide synthase 6
FAM86B3P	>0.1	family with sequence similarity 86 member B3, pseudogene
FIBIN	>0.1	fin bud initiation factor homolog
AUTS2	>0.1	activator of transcription and developmental regulator AUTS2
LOC100128554	>0.1	
USP3	>0.1	ubiquitin specific peptidase 3
MGST1	>0.1	microsomal glutathione S-transferase 1
CDKL3	>0.1	cyclin dependent kinase like 3
MIF	>0.1	macrophage migration inhibitory factor
CCDC126	>0.1	coiled-coil domain containing 126
PCDHGC3	>0.1	protocadherin gamma subfamily C, 3
CCNB1	>0.1	cyclin B1
LOC100287225	>0.1	long intergenic non-protein coding RNA 1630
ANKFY1	>0.1	ankyrin repeat and FYVE domain containing 1
C5orf22	>0.1	chromosome 5 open reading frame 22
EFCAB11	>0.1	EF-hand calcium binding domain 11
GUCY2EP	>0.1	guanylate cyclase 2E, pseudogene
LINC01098	>0.1	long intergenic non-protein coding RNA 1098
LINC00086	>0.1	small integral membrane protein 10 like 2A
CEP170	>0.1	centrosomal protein 170
RSPO3	>0.1	R-spondin 3
PLEKHF2	>0.1	pleckstrin homology and FYVE domain containing 2
RPS6KB1	>0.1	ribosomal protein S6 kinase B1
PCP4L1	>0.1	Purkinje cell protein 4 like 1
PF4V1	>0.1	platelet factor 4 variant 1
C1QTNF6	>0.1	C1q and TNF related 6
ABCB5	>0.1	ATP binding cassette subfamily B member 5
WASL	>0.1	WASP like actin nucleation promoting factor
FAM181A	>0.1	family with sequence similarity 181 member A
NLGN4X	>0.1	neuroligin 4 X-linked
OR11L1	>0.1	olfactory receptor family 11 subfamily L member 1
BMPER	>0.1	BMP binding endothelial regulator
CST9L	>0.1	cystatin 9 like
TMPRSS13	>0.1	transmembrane serine protease 13
IFT52	>0.1	intraflagellar transport 52
CHGB	>0.1	chromogranin B
MYO16	>0.1	myosin XVI
SOD3	>0.1	superoxide dismutase 3
HSPB1	>0.1	heat shock protein family B (small) member 1
FPR3	>0.1	formyl peptide receptor 3
LINC01203	>0.1	long intergenic non-protein coding RNA 1203
RAB20	>0.1	RAB20, member RAS oncogene family
CCL11	>0.1	C-C motif chemokine ligand 11
KIRREL3-AS3	>0.1	KIRREL3 antisense RNA 3
ZNF445	>0.1	zinc finger protein 445
PALM3	>0.1	paralemmin 3
AQP9	>0.1	aquaporin 9
IFNW1	>0.1	interferon omega 1
DAAM1	>0.1	dishevelled associated activator of morphogenesis 1
HMGCS1	>0.1	3-hydroxy-3-methylglutaryl-CoA synthase 1
TUBB4B	>0.1	tubulin beta 4B class IVb
LINC00635	>0.1	long intergenic non-protein coding RNA 635
KRTAP17-1	>0.1	keratin associated protein 17-1
PPY2	>0.1	pancreatic polypeptide 2, pseudogene
PPP2R4	>0.1	protein phosphatase 2 phosphatase activator
FUT4	>0.1	fucosyltransferase 4
SDHA	>0.1	succinate dehydrogenase complex flavoprotein subunit A
SEMA7A	>0.1	semaphorin 7A (John Milton Hagen blood group)
SLC25A45	>0.1	solute carrier family 25 member 45
RCVRN	>0.1	recoverin
CNTNAP4	>0.1	contactin associated protein family member 4
SERF2	>0.1	small EDRK-rich factor 2
ZNF211	>0.1	zinc finger protein 211
PRRC2B	>0.1	proline rich coiled-coil 2B
CDK1	>0.1	cyclin dependent kinase 1
CROT	>0.1	carnitine O-octanoyltransferase
ECEL1	>0.1	endothelin converting enzyme like 1
MRPL36	>0.1	mitochondrial ribosomal protein L36
IFIH1	>0.1	interferon induced with helicase C domain 1
USP6NL	>0.1	USP6 N-terminal like
VARS2	>0.1	valyl-tRNA synthetase 2, mitochondrial
LHX9	>0.1	LIM homeobox 9
LOC102577424	>0.1	
TNNI2	>0.1	troponin I2, fast skeletal type
CAPN3	>0.1	calpain 3
LINC00052	>0.1	long intergenic non-protein coding RNA 52
CECR1	>0.1	adenosine deaminase 2
